,company_name,company_number,company_status,company_type,date_of_cessation,country,date_of_creation,address_line_1,locality,postal_code,address_line_2,region,country,SICCODE_0,Value,date_of_creation_month,date_of_cessation_month
115,BUCKINGHAMS BLACKPOOL LIMITED,7827886,dissolved,ltd,2016-05-04,United Kingdom,2011-10-28,Carringtons Accountants,Bradford,BD1 4AB,14 Mill Street,West Yorkshire,United Kingdom,56302,True,10,05
116,PROGRESSIVE INNS NW LIMITED,7829267,active,ltd,1970-01-01,0,2011-10-31,Hanover Buildings,Liverpool,L1 3DN,11-13 Hanover Street,Merseyside,0,56302,True,10,01
117,THE GUNMAKERS PUBLIC HOUSE LIMITED,7826465,dissolved,ltd,2019-02-07,0,2011-10-27,14 Gloucester Place Mews,London,W1U 8BA,0,0,0,56302,True,10,02
118,BLACK HORSE NW LTD,7828296,dissolved,ltd,2018-08-14,0,2011-10-31,20 Stanley Avenue,Wirral,CH63 5QF,0,0,0,56302,True,10,08
119,BAPH LIMITED,7831357,dissolved,ltd,2015-10-11,United Kingdom,2011-01-11,1st Floor,Frinton-On-Sea,CO13 9AB,143 Connaught Avenue,Essex,United Kingdom,56302,True,01,10
120,THE KERRYMAN PUB COMPANY LIMITED,7830599,dissolved,ltd,2017-02-05,0,2011-01-11,35 Ludgate Hill,Birmingham,B3 1EH,0,0,0,56302,True,01,02
121,LEISURE 24/7 LIMITED,7830672,dissolved,ltd,2015-06-16,0,2011-01-11,Middleton Mill,Taunton,TA3 7PT,Churchstanton,Somerset,0,56302,True,01,06
122,FURSTY MEDIA LIMITED,7831606,dissolved,ltd,2014-10-22,0,2011-02-11,Wesley House Huddersfield Road,Batley,WF17 9EJ,Birstall,0,0,56302,True,02,10
123,MORLEY WOOD (BRANDON) LIMITED,7831420,dissolved,ltd,2017-04-25,0,2011-01-11,Innscribe Uk,Bradford,BD14 AB,14 Mill Street,West Yorkshire,0,56302,True,01,04
124,RLM SOUTH LTD,7831755,dissolved,ltd,2015-01-09,0,2011-02-11,2 Acorn Court,Wymondham,NR18 9AL,Bridge Industrial Estate,Norfolk,0,56302,True,02,01
125,RLM WEST LTD,7831710,dissolved,ltd,2014-10-14,England,2011-02-11,2 Acorn Court,Wymondham,NR18 9AL,Bridge Industrial Estate,Norfolk,England,56302,True,02,10
126,JAM TREE CLAPHAM LTD,7832556,dissolved,ltd,2021-04-13,England,2011-02-11,Aquum,London,SW4 7UL,68-70 Clapham High Street,0,England,56302,True,02,04
127,HQ BAR (GRAVESEND) LTD,7832593,dissolved,ltd,2016-12-07,England,2011-02-11,3a Windmill Street,Gravesend,DA12 1AD,0,Kent,England,56302,True,02,12
128,BROADOAK ENTERPRISES LIMITED,7837595,dissolved,ltd,2015-06-16,0,2011-07-11,58 High Street,Rochester,ME1 1LD,0,Kent,0,56302,True,07,06
129,THE SCOTLAND (BIRSTALL) LTD,7836327,dissolved,ltd,2017-10-31,England,2011-04-11,691 Bradford Road,Bradford,BD11 2AU,Birkenshaw,West Yorkshire,England,56302,True,04,10
130,A & M BARS LIMITED,7838496,dissolved,ltd,2019-08-17,0,2011-08-11,7 Smithford Walk,Liverpool,L35 1SF,0,0,0,56302,True,08,08
131,KILMARNOCK PUB CO LIMITED,7845082,dissolved,ltd,2016-03-29,0,2011-11-11,"5th Floor, Ergon House",London,SW1P 2AL,Horseferry Road,0,0,56302,True,11,03
132,FERRY HOUSE PUB MANAGEMENT LTD,7846782,dissolved,ltd,2020-11-17,England,2011-11-14,26 Ferry Street,London,E14 3DT,0,0,England,56302,True,11,11
